City,Property Type,Period Begin,Period End,Median Sale Price (in 000's of dollars)
Redmond,All Residential,10/1/2019,10/31/2019,821
Redmond,Condo/Co-op,10/1/2019,10/31/2019,408
Redmond,Multi-Family (2-4 Unit),10/1/2019,10/31/2019,1053
Redmond,Single Family Residential,10/1/2019,10/31/2019,925
Redmond,Townhouse,10/1/2019,10/31/2019,646
Mercer Island,All Residential,10/1/2019,10/31/2019,1477
Mercer Island,Condo/Co-op,10/1/2019,10/31/2019,548
Mercer Island,Multi-Family (2-4 Unit),10/1/2019,10/31/2019,2082
Mercer Island,Single Family Residential,10/1/2019,10/31/2019,1578
Mercer Island,Townhouse,10/1/2019,10/31/2019,1221
Tacoma,All Residential,10/1/2019,10/31/2019,310
Tacoma,Condo/Co-op,10/1/2019,10/31/2019,273
Tacoma,Multi-Family (2-4 Unit),10/1/2019,10/31/2019,416
Tacoma,Single Family Residential,10/1/2019,10/31/2019,308
Tacoma,Townhouse,10/1/2019,10/31/2019,278
Bothell,All Residential,10/1/2019,10/31/2019,651
Bothell,Condo/Co-op,10/1/2019,10/31/2019,498
Bothell,Multi-Family (2-4 Unit),10/1/2019,10/31/2019,694
Bothell,Single Family Residential,10/1/2019,10/31/2019,685
Bothell,Townhouse,10/1/2019,10/31/2019,485
Snoqualmie,All Residential,10/1/2019,10/31/2019,684
Snoqualmie,Condo/Co-op,10/1/2019,10/31/2019,500
Snoqualmie,Multi-Family (2-4 Unit),10/1/2019,10/31/2019,274
Snoqualmie,Single Family Residential,10/1/2019,10/31/2019,719
Snoqualmie,Townhouse,10/1/2019,10/31/2019,612
Bellevue,All Residential,10/1/2019,10/31/2019,869
Bellevue,Condo/Co-op,10/1/2019,10/31/2019,499
Bellevue,Multi-Family (2-4 Unit),10/1/2019,10/31/2019,1227
Bellevue,Single Family Residential,10/1/2019,10/31/2019,1076
Bellevue,Townhouse,10/1/2019,10/31/2019,699
Kent,All Residential,10/1/2019,10/31/2019,434
Kent,Condo/Co-op,10/1/2019,10/31/2019,253
Kent,Multi-Family (2-4 Unit),10/1/2019,10/31/2019,471
Kent,Single Family Residential,10/1/2019,10/31/2019,457
Kent,Townhouse,10/1/2019,10/31/2019,331
Kirkland,All Residential,10/1/2019,10/31/2019,750
Kirkland,Condo/Co-op,10/1/2019,10/31/2019,411
Kirkland,Multi-Family (2-4 Unit),10/1/2019,10/31/2019,1916
Kirkland,Single Family Residential,10/1/2019,10/31/2019,866
Kirkland,Townhouse,10/1/2019,10/31/2019,628
Issaquah,All Residential,10/1/2019,10/31/2019,702
Issaquah,Condo/Co-op,10/1/2019,10/31/2019,410
Issaquah,Multi-Family (2-4 Unit),10/1/2019,10/31/2019,926
Issaquah,Single Family Residential,10/1/2019,10/31/2019,849
Issaquah,Townhouse,10/1/2019,10/31/2019,647
Seattle,All Residential,10/1/2019,10/31/2019,649
Seattle,Condo/Co-op,10/1/2019,10/31/2019,487
Seattle,Multi-Family (2-4 Unit),10/1/2019,10/31/2019,985
Seattle,Single Family Residential,10/1/2019,10/31/2019,705
Seattle,Townhouse,10/1/2019,10/31/2019,721
Olympia,All Residential,10/1/2019,10/31/2019,304
Olympia,Condo/Co-op,10/1/2019,10/31/2019,196
Olympia,Multi-Family (2-4 Unit),10/1/2019,10/31/2019,333
Olympia,Single Family Residential,10/1/2019,10/31/2019,304
Olympia,Townhouse,10/1/2019,10/31/2019,263
Sammamish,All Residential,10/1/2019,10/31/2019,919
Sammamish,Condo/Co-op,10/1/2019,10/31/2019,452
Sammamish,Multi-Family (2-4 Unit),10/1/2019,10/31/2019,1297
Sammamish,Single Family Residential,10/1/2019,10/31/2019,1001
Sammamish,Townhouse,10/1/2019,10/31/2019,668
Kenmore,All Residential,10/1/2019,10/31/2019,655
Kenmore,Condo/Co-op,10/1/2019,10/31/2019,354
Kenmore,Multi-Family (2-4 Unit),10/1/2019,10/31/2019,239
Kenmore,Single Family Residential,10/1/2019,10/31/2019,691
Kenmore,Townhouse,10/1/2019,10/31/2019,548
Redmond,All Residential,11/1/2019,11/30/2019,808
Redmond,Condo/Co-op,11/1/2019,11/30/2019,399
Redmond,Multi-Family (2-4 Unit),11/1/2019,11/30/2019,1089
Redmond,Single Family Residential,11/1/2019,11/30/2019,909
Redmond,Townhouse,11/1/2019,11/30/2019,642
Mercer Island,All Residential,11/1/2019,11/30/2019,1473
Mercer Island,Condo/Co-op,11/1/2019,11/30/2019,553
Mercer Island,Multi-Family (2-4 Unit),11/1/2019,11/30/2019,2128
Mercer Island,Single Family Residential,11/1/2019,11/30/2019,1574
Mercer Island,Townhouse,11/1/2019,11/30/2019,1295
Tacoma,All Residential,11/1/2019,11/30/2019,302
Tacoma,Condo/Co-op,11/1/2019,11/30/2019,263
Tacoma,Multi-Family (2-4 Unit),11/1/2019,11/30/2019,416
Tacoma,Single Family Residential,11/1/2019,11/30/2019,301
Tacoma,Townhouse,11/1/2019,11/30/2019,273
Bothell,All Residential,11/1/2019,11/30/2019,652
Bothell,Condo/Co-op,11/1/2019,11/30/2019,501
Bothell,Multi-Family (2-4 Unit),11/1/2019,11/30/2019,689
Bothell,Single Family Residential,11/1/2019,11/30/2019,688
